"nom_estacio";"nom_contaminant";"valor";"month";"data";"longitud";"latitud"
"Badalona (Assemblea de Catalunya)";"PM10";27;"2024-03";2024-03-20;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";40;"2024-03";2024-03-29;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-03";2024-03-02;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";7;"2024-03";2024-03-10;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";16;"2024-03";2024-03-12;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";9;"2024-03";2024-03-26;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";19;"2024-03";2024-03-14;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";34;"2024-03";2024-03-16;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";20;"2024-03";2024-03-28;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";16;"2024-03";2024-03-30;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";13;"2024-03";2024-03-31;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";21;"2024-04";2024-04-04;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";19;"2024-04";2024-04-09;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-04";2024-04-24;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";25;"2024-04";2024-04-27;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";5;"2024-04";2024-04-01;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";17;"2024-04";2024-04-03;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";21;"2024-04";2024-04-05;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";33;"2024-04";2024-04-07;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";26;"2024-04";2024-04-13;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";14;"2024-04";2024-04-23;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";20;"2024-04";2024-04-25;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";25;"2024-04";2024-04-06;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";36;"2024-04";2024-04-08;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";19;"2024-04";2024-04-11;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";18;"2024-04";2024-04-29;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";23;"2024-04";2024-04-02;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";15;"2024-04";2024-04-10;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";27;"2024-04";2024-04-12;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";13;"2024-04";2024-04-26;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";27;"2024-04";2024-04-14;2,24823024;41,45130205
"Badalona (Assemblea de Catalunya)";"PM10";21;"2024-04";2024-04-28;2,24823024;41,45130205
