"timestamp";"station_id";"station_name";"station_province";"altitude";"mean_temperature";"min_temperature";"max_temperature";"mean_relative_humidity";"min_relative_humidity";"max_relative_humidity";"precipitation";"mean_wind_direction";"mean_wind_speed";"global_solar_radiation";"geometry";"CodiEscola"
2024-01-07;"YP";"Palafrugell";"Girona";36;8,7;3.7;13.1;43;23;67;0;NA;NA;9.3;c(3.16034, 41.90708);"5"
2024-01-08;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;6;3.2;11.6;39;27;52;0;NA;NA;9.7;c(2.12379, 41.41864);"4"
2024-01-08;"WU";"Badalona - Museu";"Barcelona";42;7,5;4.2;12.1;43;25;63;0;NA;NA;9.7;c(2.24757, 41.45215);"2"
2024-01-08;"X1";"Falset";"Tarragona";359;4,1;0.8;9.9;66;39;85;0;NA;NA;9.5;c(0.81953, 41.15374);"3"
2024-01-08;"YJ";"Lleida - la Femosa";"Lleida";170;5,2;0.5;11.6;58;32;82;0;NA;NA;9.8;c(0.64172, 41.58462);"1"
2024-01-08;"YP";"Palafrugell";"Girona";36;7,6;3.8;12.9;41;25;60;0;NA;NA;9.3;c(3.16034, 41.90708);"5"
2024-01-09;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;6,1;3.7;9.5;75;48;98;0;NA;NA;8.3;c(2.12379, 41.41864);"4"
2024-01-09;"WU";"Badalona - Museu";"Barcelona";42;7,6;3.5;10.6;67;49;79;0;NA;NA;7.4;c(2.24757, 41.45215);"2"
2024-01-09;"X1";"Falset";"Tarragona";359;5,4;0.6;11.2;68;41;85;0;NA;NA;7.5;c(0.81953, 41.15374);"3"
2024-01-09;"YJ";"Lleida - la Femosa";"Lleida";170;3,3;-2;9.2;70;42;91;0;NA;NA;8.4;c(0.64172, 41.58462);"1"
2024-01-09;"YP";"Palafrugell";"Girona";36;4,8;0.9;10.9;73;50;97;0;NA;NA;7.9;c(3.16034, 41.90708);"5"
2024-01-10;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;6,7;5.7;8.2;91;76;100;4,9;NA;NA;1.9;c(2.12379, 41.41864);"4"
2024-01-10;"WU";"Badalona - Museu";"Barcelona";42;8,2;6.3;10.8;82;73;91;4,8;NA;NA;2.2;c(2.24757, 41.45215);"2"
2024-01-10;"X1";"Falset";"Tarragona";359;6,9;4.3;9.1;93;71;100;5;NA;NA;2.5;c(0.81953, 41.15374);"3"
2024-01-10;"YJ";"Lleida - la Femosa";"Lleida";170;5,4;4.3;7.7;82;64;98;5;NA;NA;1.9;c(0.64172, 41.58462);"1"
2024-01-10;"YP";"Palafrugell";"Girona";36;8,2;5.5;12;89;71;100;15;NA;NA;2.5;c(3.16034, 41.90708);"5"
2024-01-11;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;5,6;3.9;10.4;83;63;100;0,1;NA;NA;7.1;c(2.12379, 41.41864);"4"
2024-01-11;"WU";"Badalona - Museu";"Barcelona";42;8,2;6.4;12.3;75;53;89;0,3;NA;NA;5.7;c(2.24757, 41.45215);"2"
2024-01-11;"X1";"Falset";"Tarragona";359;4,1;0.3;8.2;81;54;100;0;NA;NA;7.9;c(0.81953, 41.15374);"3"
2024-01-11;"YJ";"Lleida - la Femosa";"Lleida";170;3,6;-0.5;6.8;88;72;97;0;NA;NA;3.6;c(0.64172, 41.58462);"1"
2024-01-11;"YP";"Palafrugell";"Girona";36;6,8;5.6;8.4;78;61;100;0,1;NA;NA;3.7;c(3.16034, 41.90708);"5"
2024-01-12;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;5,5;2.8;10;73;55;91;0;NA;NA;9.7;c(2.12379, 41.41864);"4"
2024-01-12;"WU";"Badalona - Museu";"Barcelona";42;7,8;5.2;12.1;66;48;79;0;NA;NA;9.6;c(2.24757, 41.45215);"2"
2024-01-12;"X1";"Falset";"Tarragona";359;2,7;-1.3;9.5;79;51;96;0;NA;NA;9.3;c(0.81953, 41.15374);"3"
2024-01-12;"YJ";"Lleida - la Femosa";"Lleida";170;0,8;-2.5;6.9;91;65;99;0,1;NA;NA;6.8;c(0.64172, 41.58462);"1"
2024-01-12;"YP";"Palafrugell";"Girona";36;5,7;-0.6;12.2;88;67;100;0;NA;NA;9;c(3.16034, 41.90708);"5"
2024-01-13;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;7,5;3.7;13.9;60;38;76;0;NA;NA;9.5;c(2.12379, 41.41864);"4"
2024-01-13;"WU";"Badalona - Museu";"Barcelona";42;8,5;3.9;12.9;63;43;80;0;NA;NA;9.5;c(2.24757, 41.45215);"2"
2024-01-13;"X1";"Falset";"Tarragona";359;5,5;0.2;12.4;70;42;92;0;NA;NA;8.9;c(0.81953, 41.15374);"3"
2024-01-13;"YJ";"Lleida - la Femosa";"Lleida";170;-0,1;-3.2;2.3;98;96;99;0,2;NA;NA;2.8;c(0.64172, 41.58462);"1"
2024-01-13;"YP";"Palafrugell";"Girona";36;6,9;1.7;11.8;90;66;100;0;NA;NA;8.1;c(3.16034, 41.90708);"5"
2024-01-14;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;10,9;7.3;17.4;56;39;75;0;NA;NA;7.1;c(2.12379, 41.41864);"4"
2024-01-14;"WU";"Badalona - Museu";"Barcelona";42;13,1;8.9;16.4;49;40;64;0;NA;NA;7.2;c(2.24757, 41.45215);"2"
2024-01-14;"X1";"Falset";"Tarragona";359;7,9;2.3;13.4;75;58;87;0;NA;NA;4;c(0.81953, 41.15374);"3"
2024-01-14;"YJ";"Lleida - la Femosa";"Lleida";170;2,1;-0.2;5.1;97;87;99;0,1;NA;NA;2.8;c(0.64172, 41.58462);"1"
2024-01-14;"YP";"Palafrugell";"Girona";36;7,5;0.3;13.3;93;68;100;0,1;NA;NA;6.1;c(3.16034, 41.90708);"5"
2024-01-15;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;11,6;7.9;14.6;76;62;88;0;NA;NA;4.8;c(2.12379, 41.41864);"4"
2024-01-15;"WU";"Badalona - Museu";"Barcelona";42;13;9.3;17.2;70;60;86;0;NA;NA;4.4;c(2.24757, 41.45215);"2"
2024-01-15;"X1";"Falset";"Tarragona";359;11,6;7.4;16.6;83;63;100;0;NA;NA;4.2;c(0.81953, 41.15374);"3"
2024-01-15;"YJ";"Lleida - la Femosa";"Lleida";170;7,1;0.3;15;87;68;99;0;NA;NA;5.7;c(0.64172, 41.58462);"1"
2024-01-15;"YP";"Palafrugell";"Girona";36;8,6;2.6;14.8;93;71;100;0,1;NA;NA;5.6;c(3.16034, 41.90708);"5"
2024-01-16;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;13,3;10.5;15.8;78;68;88;0;NA;NA;4.5;c(2.12379, 41.41864);"4"
2024-01-16;"WU";"Badalona - Museu";"Barcelona";42;13,3;10.8;16.4;78;66;86;0;NA;NA;4.5;c(2.24757, 41.45215);"2"
2024-01-16;"X1";"Falset";"Tarragona";359;13,2;9.5;17.5;83;66;97;2,2;NA;NA;3.7;c(0.81953, 41.15374);"3"
2024-01-16;"YJ";"Lleida - la Femosa";"Lleida";170;8,4;3.7;13.9;92;75;99;2,1;NA;NA;4.4;c(0.64172, 41.58462);"1"
2024-01-16;"YP";"Palafrugell";"Girona";36;8,4;1.4;15.7;93;62;100;0,1;NA;NA;5.8;c(3.16034, 41.90708);"5"
